[2025-04-16 07:40:59] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 07:40:59] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 07:40:59] config_web | INFO: Web config server starting silently in background
[2025-04-16 07:40:59] config_web | INFO: Web config server now running on http://127.0.0.1:5050
[2025-04-16 07:41:25] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 07:41:25] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 07:41:25] config_web | INFO: Web config server starting silently in background
[2025-04-16 07:41:25] config_web | INFO: Web config server now running on http://127.0.0.1:5050
[2025-04-16 07:41:28] config_web | INFO: [DEBUG] load_config_values() called
[2025-04-16 07:41:29] config_web | INFO: Config values loaded: {'API_ID': '123456', 'API_TOKEN': 'test1234', 'API_URL': 'test', 'API_USER': 'rcstest', 'BASE_DIR': 'C:\\TPM', 'COMP_ID': '', 'LOG_LEVEL': 'INFO'}
[2025-04-16 07:41:29] config_web | INFO: Request: GET /
[2025-04-16 07:41:29] config_web | INFO: Response: 200 OK
[2025-04-16 07:41:46] config_web | INFO: Web config updated successfully.
[2025-04-16 07:41:46] config_web | INFO: [DEBUG] load_config_values() called
[2025-04-16 07:41:46] config_web | INFO: Config values loaded: {'API_ID': '123456', 'API_TOKEN': 'test1234', 'API_URL': 'test', 'API_USER': 'rcstest', 'BASE_DIR': 'c:\\tpmtest', 'COMP_ID': '', 'LOG_LEVEL': 'INFO'}
[2025-04-16 07:41:46] config_web | INFO: [INFO] Redirected after save — reloading updated values.
[2025-04-16 07:41:46] config_web | INFO: [DEBUG] load_config_values() called
[2025-04-16 07:41:46] config_web | INFO: Config values loaded: {'API_ID': '123456', 'API_TOKEN': 'test1234', 'API_URL': 'test', 'API_USER': 'rcstest', 'BASE_DIR': 'c:\\tpmtest', 'COMP_ID': '', 'LOG_LEVEL': 'INFO'}
[2025-04-16 07:41:46] config_web | INFO: Request: GET /
[2025-04-16 07:41:46] config_web | INFO: Response: 200 OK
